SEXO;EDAD;P1;ECOPER;ECOESP;PESPANNA1;PPERSONAL1;RECUVOTOG1;PROBVOTO;ESCIDEOL;NIVELESTENTREV;RELIGION;ECIVIL;SITLAB;RELALAB;CNO11;INGRESHOG;CLASESOCIAL
2;19;2;2;2;16;20;2;3;1;4;5;2;1;1;7;1;5
2;63;1;2;5;51;80;2;10;5;11;1;1;2;0;0;2;3
2;56;2;2;5;50;51;2;10;7;13;1;1;7;0;0;8;96
1;52;1;2;4;51;8;2;10;5;11;2;5;1;1;4;5;3
1;63;2;1;4;24;35;2;10;7;12;2;1;1;1;1;1;3
1;54;2;2;4;26;52;2;10;7;11;2;1;1;1;3;3;3
1;25;2;2;2;77;77;21;10;4;10;4;2;1;1;2;4;2
2;24;2;2;4;24;8;2;10;7;7;1;2;1;5;2;4;2
1;41;1;2;2;7;7;1;10;8;14;6;5;1;1;1;2;3
1;51;1;2;4;51;51;2;10;5;11;2;5;1;1;2;4;3
2;54;1;2;2;1;80;1;10;4;9;2;1;1;1;4;1;4
2;68;2;2;4;1;8;1;10;3;5;5;1;2;0;0;5;12
1;71;4;4;4;51;6;1;3;3;6;2;5;2;0;0;5;4
1;68;1;2;4;13;13;2;10;6;9;2;1;2;0;0;2;4
2;25;2;5;4;51;1;3;10;7;6;4;2;1;1;5;3;4
1;49;2;2;5;13;97;2;10;5;7;6;5;1;1;8;5;3
2;73;1;2;3;51;58;1;10;4;7;1;5;2;0;0;4;4
1;41;2;2;5;7;8;2;10;6;9;6;5;1;1;1;4;3
1;36;4;2;1;21;8;21;10;3;11;6;1;1;1;7;3;3
1;60;2;2;4;7;97;2;10;5;6;2;1;2;0;0;2;2
1;47;1;4;4;51;8;1;9;5;9;5;2;1;1;4;3;3
2;54;1;2;2;1;1;1;10;5;13;2;1;1;1;2;2;5
2;55;1;2;4;80;80;1;10;3;11;5;3;1;1;2;3;3
1;41;1;2;2;51;8;1;10;1;7;4;1;1;1;3;1;3
1;51;2;2;4;51;8;2;10;6;6;2;1;1;1;3;4;3
